Block,BlockLayers,DecoderSubmodule,LeafModule,KernelName,Calls,Total_us,PerLayer_us
B,75,MoE,FusedMoE,"void aiter::mxfp4_moe_sort_kernel<256, 64, 4, 32>(unsigned char*, unsigned char*, int const*, int const*, int, int, int, int, int)",300,1825.2,6.08
B,75,MoE,FusedMoE,"p0_scatter_kernel_1",300,1360.2,4.53
B,75,MoE,FusedMoE,"clear_workspace_kernel_0",300,1350.9,4.50
B,75,MoE,FusedMoE,"p1_count_kernel_2",300,1281.7,4.27
B,75,MoE,MoEGate,"hgemm_bf16_128x128x64x4_SPK1_W4x4x1_BLDS1_TN_AS1_0",150,11975.6,39.92
B,75,MoE,MoEGate,"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT128x192x128_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LD",75,9445.1,31.48
B,75,MoE,MoEGate,"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT128x128x256_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LD",75,3573.0,11.91
B,75,MoE,TopK,"void aiter::grouped_topk_kernel<c10::BFloat16, float __vector(4), 1, true, true, false>(c10::BFloat16*, c10::BFloat16 const*, float*, int*, unsigned long, int, int, int, int, float)",300,5685.1,18.95
G,1,AllReduce(TP),VocabParallelEmbedding,"void quickreduce::allreduce_prototype_twoshot<quickreduce::AllReduceTwoshot<__half, quickreduce::CodecQ4<__half, 4>, true>, __half>(__half const*, __half*, unsigned int, unsigned int, int, unsigned ch",4,2846.6,711.65
G,1,DeepseekV2Model,DeepseekV2Model,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",4,19.2,4.79
