"Profile: GLM-5.2 decode, in1024/out1024, conc4, TP0 (graph-on stats + no-cuda-graph structure)",,,,,,,,,,,,
MI355X trace: in1024_out1024_conc4_p8-AMD-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,
B200 trace: in1024_out1024_conc4_p8-NV-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,
"GPU-busy (graph-ON, per decode step): MI355X 16.98 ms (overlap 1.00x) | B200 48.05 ms (overlap 1.33x) | B200/MI355X = 283%",,,,,,,,,,,,
NOTE: the Σduration table/Summary below ignores cross-stream overlap; use the GPU-busy line above for wall-clock (TPOT) comparison.,,,,,,,,,,,,
,,,,,,,,,,,,
LayerType,Section,LeafModule,LayerCount,#,MI355X_KernelName,MI355X_us,B200_us,B200_KernelName,MI355X_CallSite,B200_CallSite,,
,,,,1,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x16x128_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB256_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT4_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK3_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA4_VWB1_WSGRA0_WSGRB0_WS64_WG64_4_1,8.452,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(581): forward_absorb_core,,,
,,,,2,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1})",5.744,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(581): forward_absorb_core,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,RowParallelLinear,3,0,hgemm_bf16_16x128x64x4_SPK4_W1x2x1_BLDS1_TN_AS1_0,12.854,,,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(132): apply,,,
,DeepseekV2AttentionMLA,Subtotal,,,,159.417,100.691,,63%,,,
,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,prepare_mlp,core.py(1436),3,0,_ZN5aiter26cross_device_reduce_1stageIDF16bLi4ELb0EEEvPNS_8RankDataES2_NS_11RankSignalsEPNS_6SignalEPT_ii,12.184,,,/sgl-workspace/sglang/python/sglang/srt/distributed/parallel_state.py(738): _all_reduce_out_place,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,prepare_mlp,RMSNorm,3,0,_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi24ELb1ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_diiiiiiib,4.95,,,/sgl-workspace/sglang/python/sglang/srt/layers/layernorm.py(349): forward_aiter,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,prepare_mlp,trtllm_mnnvl_ar.py(265),3,0,,,7.673,"void flashinfer::trtllm_mnnvl_allreduce::oneshotAllreduceFusionKernel<(unsigned char)4, __nv_bfloat16, true, float4>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16**, __nv_bfloat16*, int, int, float, float, int, unsigned int*)",,/sgl-workspace/sglang/python/sglang/srt/layers/flashinfer_comm_fusion.py(720): flashinfer_allreduce_residual_rmsnorm,,
,prepare_mlp,Subtotal,,,,17.134,7.673,,45%,,,
,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2MLP,MergedColumnParallelLinear,3,0,hgemm_bf16_16x64x128x7_SPK2_W1x2x1_BLDS1_TN_AS1_0,16.119,16.907,nvjet_sm100_tst_64x8_64x16_2x1_v_bz_splitK_TNT,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(132): apply,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(132): apply,,
,DeepseekV2MLP,(self),,,,,3.177,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(132): apply,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2MLP,SiluAndMul,3,0,_ZN7sgl_hip10activation18act_and_mul_kernelI14__hip_bfloat16TnPFT_RKS3_EXadL_Z4siluIS2_ES3_S5_EEEEvPS3_PS4_i,4.612,2.884,"void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::ActivationKind)0, true, false>((anonymous namespace)::ActivationParams)",/sgl-workspace/sglang/python/sglang/srt/layers/activation.py(102): forward_cuda,/sgl-workspace/sglang/python/sglang/jit_kernel/activation.py(57): _run_activation_inplace,,
,DeepseekV2MLP,(self),,,,,6.571,nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2MLP,RowParallelLinear,3,0,hgemm_bf16_16x64x64x8_SPK2_W1x2x1_BLDS1_TN_AS1_0,10.759,,,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(132): apply,,,
,,,,1,_ZN5aiter26cross_device_reduce_1stageIDF16bLi4ELb0EEEvPNS_8RankDataES2_NS_11RankSignalsEPNS_6SignalEPT_ii,12.184,,,/sgl-workspace/sglang/python/sglang/srt/distributed/parallel_state.py(738): _all_reduce_out_place,,,
,DeepseekV2MLP,Subtotal,,,,43.674,29.539,,68%,,,
,,,,,,,,,,,,
