"Profile: GLM-5 FP4 DECODE  in1024/out1024/conc4  TP-0  (MI355X=mxfp4/ROCm, B200=nvfp4/CUDA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI355X trace: in1024_out1024_conc4_p8-AMD-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B200 trace: in1024_out1024_conc4_p8-NV-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GPU-busy (graph-ON, per decode step): MI355X 18.12 ms (overlap 1.00x) | B200 12.28 ms (overlap 1.43x) | B200/MI355X = 68%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: the Σduration table/Summary below ignores cross-stream overlap; use the GPU-busy line above for wall-clock (TPOT) comparison.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LayerType,Section,LeafModule,LayerCount,#,MI355X_KernelName,MI355X_us,B200_us,B200_KernelName,MI355X_CallSite,B200_CallSite,,,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,fused_kv_cache.py(88),3,0,_fused_qk_rope_cat_and_cache_mla_kernel,3.947,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(438): forward_absorb_core,,,,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,RadixAttention,3,0,main_kernel,8.623,2.788,"void flashinfer::RopeQuantizeKernel<true, 16u, 1u, __nv_bfloat16, long, __nv_fp8_e4m3>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, float, float)",/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/tilelang_kernel.py(1333): tilelang_sparse_fwd,/sgl-workspace/sglang/python/sglang/srt/layers/attention/utils.py(88): mla_quantize_and_rope_for_fp8,,,,,,,,,,,,,,,,,,,
,,,,1,main_kernel,8.623,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/tilelang_kernel.py(1333): tilelang_sparse_fwd,,,,,,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,1.831,set_mla_kv_buffer_kernel,,,,,,,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,9.622,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta128PagedKvDenseStaticTokenSparseP1MultiCtasKvVarSeqQ16Kv128StaticSwapsAbForGen,,,,,,,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,6.339,nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN,,,,,,,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,7.865,nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT,,,,,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,forward_mla.py(438),3,0,"void at::native::vectorized_elementwise_kernel<8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",4.579,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(438): forward_absorb_core,,,,,,,,,,,,,,,,,,,,
,,,,1,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x16x128_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB256_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT4_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK3_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA4_VWB1_WSGRA0_WSGRB0_WS64_WG64_4_1,7.935,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(438): forward_absorb_core,,,,,,,,,,,,,,,,,,,,
,,,,2,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1})",4.54,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(438): forward_absorb_core,,,,,,,,,,,,,,,,,,,,
